file,label,up_count,up_bytes,up_mean,up_median,up_std,down_count,down_bytes,down_mean,down_median,down_std
amazon-test.pcap,amazon,6,532,2.0941497802734377,2.9298269748687744,1.7401587427490595,5,398,2.646187484264374,3.254083037376404,1.5670377249961922
amazon-train1.pcap,amazon,57,5054,0.19958055445126124,0.1160123348236084,0.5859925445523859,58,4644,0.21154612407349704,0.11726689338684082,0.5853405609985726
amazon-train2.pcap,amazon,248,18544,0.05224544895805328,0.023296117782592773,0.3143179125528524,739,73298,0.017485743938745846,2.1457672119140625e-06,0.18287007128180133
amazon-train3.pcap,amazon,30,2626,0.46321106779164284,0.1126859188079834,0.9190493000799516,28,2222,0.4974878893958198,0.11394000053405762,0.9525668924948172
amazon-train4.pcap,amazon,5,398,1.4004789590835571,1.010439395904541,1.3498900698132859,5,432,1.4004849791526794,1.010470986366272,1.458737325383109
github-test.pcap,github,112,8684,0.07595419883728027,0.0058231353759765625,0.6174735498945019,468,46528,0.01830319265737268,1.9073486328125e-06,0.30027894197145927
github-train1.pcap,github,219,18092,0.03813436709412741,0.0022209882736206055,0.22980954152075236,1619,160482,0.005064351596997312,9.5367431640625e-07,0.08198176353385365
github-train2.pcap,github,106,8016,0.11892035121009463,0.010324954986572266,0.6784824315975738,314,31230,0.04028120436988319,2.1457672119140625e-06,0.4004668355247917
github-train3.pcap,github,67,5068,0.17371548667098535,0.01155996322631836,0.7637949655292754,218,21528,0.05283487117784913,1.9073486328125e-06,0.43094479617199544
github-train4.pcap,github,87,6762,0.14787944250328597,0.0036715269088745117,0.5814359439487168,332,32894,0.03879292421830745,1.9073486328125e-06,0.30215817189053473
google-test.pcap,google,36,2614,0.32435668536594936,0.0014560222625732422,1.170798236998135,74,7196,0.15719095648151554,1.9073486328125e-06,0.8384685779711364
google-train1.pcap,google,39,2846,0.19564420925943474,0.021266937255859375,0.49329357006627267,101,9930,0.07393794059753418,1.9073486328125e-06,0.3161183514804438
google-train2.pcap,google,37,2748,0.3917708926730686,0.004395484924316406,1.3484936345858942,90,8796,0.1584677401553379,1.9073486328125e-06,0.8779061728145539
google-train3.pcap,google,34,2516,0.2632821256464178,0.0016131401062011719,1.228347594007924,94,9264,0.09342275383651898,1.9073486328125e-06,0.7423317360464936
google-train4.pcap,google,27,1952,0.5204166173934937,0.054213523864746094,1.481883602533656,74,7332,0.18535802788930397,3.814697265625e-06,0.9187425205131429
nytimes-test.pcap,nytimes,415,33238,0.027954608345953164,0.008538007736206055,0.10022968674453371,1940,192164,0.005968683832020044,1.9073486328125e-06,0.048417497988835406
nytimes-train1.pcap,nytimes,502,41734,0.027845173776744607,0.005270957946777344,0.13446892871739663,2249,222386,0.006144201097963544,1.9073486328125e-06,0.06142666208394464
nytimes-train2.pcap,nytimes,446,35862,0.028743215625205737,0.009532928466796875,0.07988847178956973,1992,197738,0.006481858846950866,1.9073486328125e-06,0.0360954026831765
nytimes-train3.pcap,nytimes,274,22402,0.048803054369412936,0.007064104080200195,0.31930887694304394,1477,146764,0.006159939740085343,1.9073486328125e-06,0.07939406103284641
nytimes-train4.pcap,nytimes,318,25714,0.02178574736562061,0.006505012512207031,0.09790241249756838,1700,168764,0.004064768044088362,1.9073486328125e-06,0.03907104725487885
steam-test.pcap,steam,3,232,5.327196002006531,5.327196002006531,2.2733339071273804,3,266,5.269995450973511,5.269995450973511,2.330552339553833
steam-train1.pcap,steam,204,16218,0.06488082679034454,0.009981870651245117,0.42569676237589904,1017,100816,0.012849475455096387,1.9073486328125e-06,0.1878418128760959
steam-train2.pcap,steam,292,23964,0.039316838549584454,0.007661104202270508,0.20089745866897624,1305,129278,0.008805060496359514,1.9073486328125e-06,0.1420629939272812
steam-train3.pcap,steam,85,6664,0.13043626149495444,0.0064239501953125,0.7531045521891954,382,37758,0.028757577806007205,2.1457672119140625e-06,0.3469608711816743
steam-train4.pcap,steam,54,4244,0.16893842985045235,0.0049190521240234375,0.7721851744627932,268,26596,0.03353361422649483,1.9073486328125e-06,0.33857386054517524
youtube-test.pcap,youtube,19,1492,0.49940188725789386,0.05999898910522461,1.614054375684334,21,1896,0.44370079040527344,0.06094837188720703,1.500017071895238
youtube-train1.pcap,youtube,276,22840,0.028957392085682262,0.004747867584228516,0.09157719772669283,943,92974,0.008667367279149924,1.9073486328125e-06,0.051425305539876086
youtube-train2.pcap,youtube,93,7736,0.14385012958360754,0.013554096221923828,0.8607092165773059,169,16084,0.0787577089809236,2.1457672119140625e-06,0.6461994562013563
youtube-train3.pcap,youtube,56,4920,0.23750578273426404,0.1186680793762207,0.6688822665704505,54,4584,0.24650965996508328,0.11766576766967773,0.6809418180317823
youtube-train4.pcap,youtube,89,7268,0.12220212546261874,0.017612934112548828,0.624142110726467,193,18382,0.05650108804305395,0.00043594837188720703,0.42560015540171486
